row_names,smiles,SUBSTANCE_ID,SUBSTANCE_LOT_ID,SAMPLE_SBMSN_ID,RESULT,SMP_CONC,ASSAY_NAME,CO,ord,cl,if
1.7.P:21,Cc1cc(ccc1Nc1nc(cs1)c1ccoc1)OC,UNC10375240A,F6477-5274,PLATE 037_P_21,107,20,DENV-2 RdRp picogreen,1,1,1,1
1.4.M:12,C(C(Nc1ccc(cc1)[Br])=O)Sc1ncc(c2ccc(cc2)F)o1,UNC10369982A,F3382-2597,PLATE 021_M_12,96,20,DENV-2 RdRp picogreen,207,20,2,1
1.5.G:8,C1CN(CCN1C(c1ccccc1)c1ccccc1)C(c1ccco1)c1c(n2c(ncn2)s1)O,UNC10364865A,F1805-0287,PLATE 005_G_08,94,20,DENV-2 RdRp picogreen,314,24,3,1
1.6.E:8,C1Cc2ccccc2N(C1)C(CSc1ccc(c2ccco2)nn1)=O,UNC10365177A,F2004-0120,PLATE 006_E_08,103,20,DENV-2 RdRp picogreen,4,28,4,1
1.2.I:19,C(C(NCc1ccncc1)=O)c1cc(c2ccco2)on1,UNC10371364A,F5001-1842,PLATE 025_I_19,101,20,DENV-2 RdRp picogreen,16,127,5,1
1.13.F:13,C(C(c1ccc(c2ccco2)s1)O)Nc1c2ccncc2ncn1,UNC10405725A,F6724-4897,PLATE 133_F_13,96,20,DENV-2 RdRp picogreen,266,266,6,1
1.12.K:22,C1CN(CCN1C1=NN=C(CS1)c1cccs1)C(c1ccco1)=O,UNC10410334A,F5792-0634,PLATE 147_K_22,103,20,DENV-2 RdRp picogreen,6,267,7,1
1.4.B:14,Cc1cccc(c1)C(N1C(CC(c2ccco2)=N1)c1cccs1)=O,UNC10364638A,F1635-0095,PLATE 004_B_14,96,20,DENV-2 RdRp picogreen,204,270,8,1
1.10.E:5,C(C(N1CC(C1)S(Cc1ccco1)(=O)=O)=O)c1cccs1,UNC10390282A,F6442-2123,PLATE 085_E_05,101,20,DENV-2 RdRp picogreen,18,280,9,1
1.5.M:9,CCOc1ccc(cc1)C1=CC(N(CC(N2CCC(CC2)Cc2ccccc2)=O)C=N1)=O,UNC10372166A,F5228-1294,PLATE 028_M_09,100,20,DENV-2 RdRp picogreen,21,373,10,1
1.2.M:12,Cc1cc(NC(c2ccc(cc2)OC)=O)n(C2CCS(C2)(=O)=O)n1,UNC10371256A,F5007-0035,PLATE 025_M_12,99,20,DENV-2 RdRp picogreen,39,397,11,1
1.5.M:8,COC(N1CCN(CC1)Cc1nnnn1c1ccc(cc1)[Cl])=O,UNC10372150A,F5250-0325,PLATE 028_M_08,99,20,DENV-2 RdRp picogreen,57,409,12,1
1.5.N:18,COc1cccc(CNC(c2cn(c3ccc(cc3)[Cl])nn2)=O)c1,UNC10370394A,F3398-4230,PLATE 022_N_18,97,20,DENV-2 RdRp picogreen,138,414,13,1
1.8.H:15,COc1ccc(CCNC(Nc2ccccc2Cc2nc(C3CC3)no2)=O)cc1,UNC10389805A,F6372-0701,PLATE 083_H_15,102,20,DENV-2 RdRp picogreen,11,426,14,1
1.14.A:4,C1CN(C(CNC(c2ccco2)=O)c2cccs2)c2ccccc12,UNC10367644A,F2661-0066,PLATE 014_A_04,102,20,DENV-2 RdRp picogreen,8,445,15,1
1.8.H:8,C(C(c1ccsc1)(c1cccs1)O)NC(C1c2ccccc2Oc2ccccc12)=O,UNC10375344A,F6506-2328,PLATE 038_H_08,93,20,DENV-2 RdRp picogreen,347,472,16,1
1.3.M:16,CC(C(N1CCC2(CC1)C(N(Cc1ccc(C)cc1)C(N2)=O)=O)=O)Oc1ccccc1,UNC10371639A,F5047-0215,PLATE 026_M_16,99,20,DENV-2 RdRp picogreen,45,474,17,1
1.13.O:11,CC(c1cccc(c1)NC(CN1CCN(CC1)c1cc2CCCc2nn1)=O)=O,UNC10376998A,F6565-4924,PLATE 043_O_11,78,20,DENV-2 RdRp picogreen,591,481,18,1
1.13.P:16,Cn1cc(cn1)c1ccc(CCNC(Nc2cccs2)=O)cc1,UNC10391429A,F6518-6060,PLATE 088_P_16,102,20,DENV-2 RdRp picogreen,12,484,19,1
1.3.M:21,CCN1CCN(CC1)CC(Nc1c(C(=O)OCC)c(C)c(C)s1)=O,UNC10369806A,F3284-2929,PLATE 020_M_21,89,20,DENV-2 RdRp picogreen,415,510,20,1
1.5.M:18,C(CNC(c1ccc(cc1)[Cl])=O)CS(N1CCN(CC1)c1ccc(cc1)F)(=O)=O,UNC10372310A,F5253-0188,PLATE 028_M_18,100,20,DENV-2 RdRp picogreen,23,511,21,1
1.1.N:19,Cc1cccc(c1)C1C(NC2(CCN(CC2)C(c2ccccc2[Cl])=O)N=1)=O,UNC10371050A,F3411-3285,PLATE 024_N_19,98,20,DENV-2 RdRp picogreen,83,557,22,1
